what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1741465049849
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741465087840
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741465168647
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741465183322
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741465187539
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1741465187915
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1741465200350
started,bundle,org.eclipse.wst.common.environment,1.0.301.v200908101600,"org.eclipse.wst.common.environment",1741465206855
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741465207024
started,bundle,org.eclipse.emf.codegen,2.5.0.v200906151043,"org.eclipse.emf.codegen",1741465220194
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741465220307
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1741465221176
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741465221279
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1741465221353
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1741465221445
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741465221467
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1741465231043
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741465246987
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741465249521
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741465253030
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741465253409
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741465253472
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1741465258034
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1741465258754
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741465260524
